Site,Latitude,Longitude,,,Record,,,References
Northwest Crater Tower Hill,-38.3167,142.3667,20,lacustrine,"macro, sieved",25.85,3.13,"D’Costa et al., 1989"
Lake Wangoom LW87 core,-38.35,142.6,100,lacustrine,"micro, pollen slide",196.6,0.52,"Harle et al., 2002"
Kaipo,-38.4,177.1,555,mire,"micro, pollen slide",17.51,7.77,"Newnham and Lowe, 2000, Hajdas et al., 2006"
Greens Bush,-38.4333,144.9333,160,coastal,"micro, pollen slide",5.77,4.85,"Jenkins, 1992"
McKenzie Road Bog,-38.4333,146.7667,50,mire,"micro, pollen slide",0.17,301.17,"Robertson, 1986"
Waikaremoana,-38.45,177.02,582,lacustrine,"micro, pollen slide",1.65,9.11,"Newnham et al., 1998"
Chapple Vale Swamp,-38.6261,143.323,30,mire,"micro, pollen slide",7.16,9.64,"McKenzie and Kershaw, 1997"
Aire Crossing,-38.6467,143.4797,180,terrestrial,"micro, pollen slide",10.33,3.97,"McKenzie and Kershaw, 2004"
Wyelangta,-38.6472,143.4614,450,fluvial,"micro, pollen slide",223.93,0.23,"McKenzie and Kershaw, 2000"
Lake Hordern,-38.7833,143.4667,3,lacustrine,"micro, pollen slide",4.8,4.59,"Head and Stuart, 1980"
Lake Flannigan King Island,-39.6,143.95,40,mire,"micro, pollen slide",4.05,4.69,"D’Costa, 1997"
Egg Lagoon,-39.65,143.95,20,mire,"micro, pollen slide",149.38,0.74,"D’Costa et al., 1993"
Middle Patriarch Swamp,-39.998,148.181,19,lacustrine,"micro, pollen slide",12.28,1.55,"Ladd et al., 1992"
Kelela Swamp,-4.0207,138.9125,1650,mire,"micro, pollen slide",11.67,3.17,"Haberle et al., 1991"
Ijomba,-4.0333,137.2167,3630,mire,"micro, pollen slide",17.91,2.46,"Haberle and Ledru, 2001"
Lake Habbema,-4.1167,138.7,3120,lacustrine,"micro, pollen slide",11.59,3.8,"Haberle et al., 2001"
Supulah Hill,-4.1167,138.9667,1580,mire,"micro, pollen slide",39,0.95,"Haberle et al., 1991, Hope, 1998"
Ajkwa 1,-4.867,136.968,1.3,coastal,"micro, pollen slide",6.16,4.38,"Ellison, 2005"
Ajkwa 2,-4.867,136.968,1.3,coastal,"micro, pollen slide",10.43,5.85,"Ellison, 2005"
Ajkwa 3,-4.867,136.968,1.3,coastal,"micro, pollen slide",2.96,13.83,"Ellison, 2005"
Ajkwa 4,-4.867,136.968,1.3,coastal,"micro, pollen slide",5.55,4.86,"Ellison, 2005"
Ajkwa 5,-4.867,136.968,1.3,coastal,"micro, pollen slide",5.55,7.38,"Ellison, 2005"
"Stockyard Swamp, Hunter Island",-40.55,144.75,65,mire,"micro, pollen slide",5.83,2.4,"Hope, 1999"
Sundown Swamp,-41.1667,144.6667,10,mire,"micro, pollen slide",4.15,2.65,"Hope, 1999"
Den Plain 3,-41.3,146.2,350,lacustrine,"micro, pollen slide",2.38,5.04,"Moss et al., 2007"
Ringarooma Humus Site 1,-41.3,147.6167,885,terrestrial,"micro, pollen slide",0.2,110,"Dodson et al., 1998"
Ringarooma Humus site 2,-41.3,147.6167,885,terrestrial,"micro, pollen slide",0.32,53.13,"Dodson et al., 1998"
Ringarooma River site I,-41.3,147.6167,885,terrestrial,"micro, pollen slide",0.39,56.24,"Dodson et al., 1998"
Ringarooma River Site II,-41.3,147.6167,885,terrestrial,"micro, pollen slide",0.28,61.4,"Dodson et al., 1998"
Dove Lake,-41.66,145.96,934,lacustrine,"micro, pollen slide",13.5,5.7,"Dyson, 1995"
Dublin Bog,-41.727,146.233,710,mire,"macro, sieved",15.9,5.79,"Colhoun et al., 1991"
Solomons Jewel Lake,-41.8,146.2667,1185,lacustrine,"micro, pollen slide",4.85,10.1,"Dodson, 2001"
Lake Johnston,-41.8666,145.55,900,lacustrine,"micro, pollen slide",11.72,4.52,"Dodson et al., 1998, Anker et al., 2001"
Poets Hill,-41.883,145.559,600,lacustrine,"micro, pollen slide",14.16,2.33,"Colhoun, 1992"
Lake Selina,-41.8833,145.6,516,lacustrine,"micro, pollen slide",130.24,0.62,"Colhoun et al., 1999"
Cameron’s Lagoon,-41.967,146.683,1045,mire,"micro, pollen slide",7.83,2.68,"Thomas and Hope, 1994"
Henty Bridge,-41.9922,145.4736,115,spring,"micro, pollen slide",29.42,0.61,"Colhoun, 1985"
Newall Creek,-42.07,145.44,140,terrestrial,"micro, pollen slide",23.09,1.78,"Van de Geer et al., 1989"
Kettlehole Bog,-43.0546,171.7862,600,mire,"micro, pollen slide",17.45,5.16,"McGlone et al., 2004"
Okarito Pakihi,-43.2417,170.2167,70,mire,"macro, sieved",150.12,1.1,"Vandergoes et al., 2005, Newnham et al., 2007b"
Galway Tarn,-43.4083,169.8733,130,lacustrine,"macro, sieved",50.86,2.36,"M. Vandergoes, unpublished data"
Eweburn Bog,-45.32,167.8089,320,mire,"micro, pollen slide",10.61,5.75,"Ogden et al., 1998"
Clarks Junction,-45.7181,170.1139,560,lacustrine,"macro, sieved",16.8,2.2,"McGlone, 2001"
Glendhu Bog,-45.8381,169.7264,600,mire,"macro, sieved",12,5.17,"McGlone and Wilmshurst, 1999"
Ajax Hill,-46.4192,169.2922,680,mire,"macro, sieved",14.21,4.01,"McGlone, 2009"
Tugupugua,-5.6691,142.6108,2300,mire,"micro, pollen slide",18.42,3.42,"Haberle and Ledru, 2001"
Banda Sea Core SHI-9014,-5.7667,126.9667,-3163,marine,"micro, pollen slide",173.31,0.54,"van der Kaars et al., 2000"
Haeapugua,-5.8333,142.7833,1650,marsh,"micro, pollen slide",25.5,3.22,"Haberle and Ledru, 2001"
Aru,-5.917,134.2,1,terrestrial,"micro, pollen slide",6.89,2.61,"Hope and Aplin, 2005"
Rawa Danau,-6.1833,105.9667,100,lacustrine,"micro, pollen slide",16.59,1.87,"Haberle and Ledru, 2001"
Noreikora Swamp,-6.3333,145.8333,1750,marsh,"micro, pollen slide",6.87,3.49,"Haberle and Ledru, 2001"
Sondambile,-6.3453,147.1116,2850,lacustrine,"macro, sieved",1.34,243.12,"Haberle et al., 2005"
Aguai Ramata,-6.5639,145.211,1950,lacustrine,"macro, sieved",15.84,32.88,"Haberle, 2007"
Yawi Ti,-6.6147,143.8863,1150,mire,"macro, sieved",16.87,6.88,"Haberle, 2007"
Wanum,-6.6365,146.7986,35,lacustrine,"macro, sieved",3.89,72.92,"Haberle et al., 2005"
Laravita,-8.3909,147.352,3570,mire,"micro, pollen slide",16.14,1.92,"Hope, 2009"
Kosipe A,-8.4667,147.2,1960,marsh,"micro, pollen slide",33.36,0.87,"Hope, 2009"
Kosipe C,-8.4667,147.2,1960,marsh,"micro, pollen slide",55,0.8,"Hope, 2009"
Neon,-8.4725,147.3099,2875,mire,"micro, pollen slide",13,1.54,"Hope, 2009"
Laukutu Swamp,-9.4794,160.0854,20,mire,"micro, pollen slide",3.92,3.32,"Haberle, 1996"
Mela Swamp,-9.4794,160.0854,20,mire,"micro, pollen slide",5.01,2.6,"Haberle, 1996"
Black Springs,-15.633,126.389,,,Speleothem,14,,Field 2018
Big Willium,-12.649294,141.84699,,,Lake,8,,Stevenson 2015
Three-Mile Quarter Lake,-13.74564,143.487802,,,Lake,8.3,,Luly 2006
Isabella Swamp,-15.421267,144.948585,,,Swamp,9.2,,Stephens and Head 1995
Walala,-15.41,137.02,,,Swamp,10,,Prebble 2005
Four Mile Billabong,-13.970045,136.593338,,,Swamp,10,,Shulmeister 1992; Shulmeister and Lees 1995
Girraween,-12.517316,131.080832,,,Lake,22,,"Rowe, 2019"
KNI-51,-15.052575,128.431836,,,Speleothem,9,,Denniston (2013a)
Witherspoon Swamp,-17.49,145.24,,,Swamp,7.9,,Moss 2012
Ball Gown Cave,-16.823138,124.098813,,,Speleothem,40,,Denniston (2013b)
Bromfield Swamp,-17.2244,145.3227,,,Swamp,37,,Burrows 2016
